City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,margaret river,-33.95,115.0667,287.19,57,92,8.93,AU,1693928831
84,prince rupert,54.3161,-130.3201,284.98,95,100,5.66,CA,1693929008
85,bilibino,68.0546,166.4372,271.3,83,100,1.27,RU,1693929042
86,alice springs,-23.7,133.8833,288.9,33,0,3.6,AU,1693929042
87,avarua,-21.2078,-159.775,295.18,73,55,4.12,CK,1693929042
88,nadi,-17.8,177.4167,292.15,88,20,1.03,FJ,1693929043
89,puno,-15.8333,-70.0333,285.91,44,87,4.21,PE,1693929043
90,baruun-urt,46.6806,113.2792,291.57,41,20,2.46,MN,1693929043
91,hawaiian paradise park,19.5933,-154.9731,294.76,85,0,3.6,US,1693929043
92,saint-georges,12.0564,-61.7485,303.97,74,20,6.17,GD,1693928775
93,petropavlovsk-kamchatsky,53.0452,158.6483,280.48,100,0,3.0,RU,1693929043
94,santo antonio do ica,-3.1022,-67.9397,310.32,26,8,2.32,BR,1693929043
95,puerto ayora,-0.7393,-90.3518,299.13,90,91,2.68,EC,1693929043
96,hermanus,-34.4187,19.2345,286.37,65,36,8.11,ZA,1693929043
97,basco,20.4487,121.9702,299.13,93,100,7.12,PH,1693929044
98,harstad,68.799,16.5293,281.81,96,100,8.05,NO,1693929044
99,sikandra,26.3667,79.65,301.9,68,93,4.17,IN,1693929044
100,utrik,11.2278,169.8474,301.35,77,49,7.19,MH,1693929044
101,borodulikha,50.7184,80.9295,285.01,75,63,1.08,KZ,1693929044
102,bredasdorp,-34.5322,20.0403,285.0,61,31,6.66,ZA,1693928818
103,margate,51.3813,1.3862,299.43,68,46,2.68,GB,1693928875
104,west island,-12.1568,96.8225,299.14,73,75,7.2,CC,1693929044
105,kingston,17.997,-76.7936,306.62,72,20,7.72,JM,1693928985
106,sirte,31.2089,16.5887,299.5,58,9,8.88,LY,1693929045
107,keflavik,64.0049,-22.5624,287.1,82,75,11.32,IS,1693929045
108,kodiak,57.79,-152.4072,279.88,93,0,2.06,US,1693929045
109,boyolangu,-8.1181,111.8935,294.62,94,38,1.16,ID,1693929045
110,kirensk,57.7853,108.1119,283.91,75,100,1.43,RU,1693929045
111,ushuaia,-54.8,-68.3,274.96,51,75,1.03,AR,1693929045
112,lihue,21.9789,-159.3672,295.57,91,0,2.57,US,1693928756
113,westhill,57.1526,-2.2797,294.5,82,75,4.63,GB,1693929045
114,alexandria,31.2156,29.9553,304.45,64,0,6.6,EG,1693929045
115,qarqaraly,49.4058,75.4742,282.01,89,98,2.73,KZ,1693929046
116,ebon,4.582,168.6964,302.11,74,83,5.4,MH,1693929046
117,port mathurin,-19.6833,63.4167,295.86,72,0,7.86,MU,1693928837
118,quatre cocos,-20.2078,57.7625,296.21,69,3,4.41,MU,1693929046
119,tazovsky,67.4667,78.7,279.68,85,74,2.96,RU,1693929046
120,callao,-12.0667,-77.15,296.88,73,100,3.09,PE,1693928758
121,pangkalanbuun,-2.6833,111.6167,298.46,84,97,2.03,ID,1693928992
122,djibouti,11.5,42.5,306.54,29,65,7.51,DJ,1693929046
123,zaragoza,41.6561,-0.8773,305.62,30,0,3.09,ES,1693929046
124,calingasta,-31.3308,-69.4078,291.55,20,23,2.41,AR,1693929047
125,caleta de carquin,-11.0925,-77.6267,294.43,71,98,4.04,PE,1693929047
126,ola,59.5833,151.2833,281.01,86,99,0.54,RU,1693929047
127,dawei,14.0833,98.2,298.14,94,100,2.08,MM,1693929047
128,ponta delgada,37.7333,-25.6667,296.55,68,20,9.77,PT,1693929047
129,yuzhno-kurilsk,44.0306,145.8556,290.33,98,100,2.3,RU,1693929047
130,hadibu,12.65,54.0333,299.56,81,63,3.86,YE,1693929047
131,arteche,12.2645,125.4048,299.16,90,100,2.81,PH,1693929048
132,riohacha,11.5444,-72.9072,307.21,55,40,7.2,CO,1693929048
133,urangan,-25.3,152.9,292.95,84,0,2.52,AU,1693929048
134,gazojak,41.1875,61.4036,298.32,23,0,4.22,TM,1693929048
135,roswell,34.0232,-84.3616,301.9,65,75,0.0,US,1693928769
136,novyy urgal,51.0736,132.5642,277.96,93,14,0.72,RU,1693929048
137,akjoujt,19.6969,-14.4164,312.39,24,57,4.26,MR,1693929048
138,fair oaks ranch,29.7458,-98.6434,305.18,65,6,0.45,US,1693929048
139,paredon,16.0333,-93.8667,302.41,69,41,1.6,MX,1693929049
140,karaton,-6.3424,106.1045,295.02,84,15,0.13,ID,1693929049
141,jessheim,60.1415,11.1752,297.46,41,0,4.12,NO,1693929049
142,markaz-e hukumat-e darweshan,31.1323,64.1934,303.59,9,0,3.21,AF,1693929049
143,ta`u,-14.2336,-169.5144,299.5,70,55,8.28,AS,1693929049
144,brikama,13.2714,-16.6494,304.17,66,40,4.63,GM,1693929049
145,riyadh,24.6877,46.7219,313.23,12,1,1.83,SA,1693928930
146,saipan,15.1355,145.701,300.54,89,0,1.54,MP,1693929049
147,woodlake,37.4211,-77.6793,306.58,62,0,5.66,US,1693929050
148,jambi city,-1.6,103.6167,297.42,78,92,0.93,ID,1693929050
149,opuwo,-18.0607,13.84,304.67,9,0,1.64,NA,1693929050
150,shush,32.1942,48.2436,314.3,8,0,5.8,IR,1693929050
151,port blair,11.6667,92.75,301.17,83,100,4.12,IN,1693929050
152,flying fish cove,-10.4217,105.6791,296.97,83,100,5.66,CX,1693929051
153,fallon,39.4735,-118.7774,290.88,82,40,0.0,US,1693929051
154,manaus,-3.1019,-60.025,308.43,49,20,6.17,BR,1693928992
155,oranjemund,-28.55,16.4333,285.77,62,42,10.46,NA,1693929051
156,newman,37.3138,-121.0208,293.84,81,0,0.89,US,1693929051
157,kavaratti,10.5669,72.642,301.39,78,100,6.7,IN,1693929051
158,ried im innkreis,48.2112,13.4886,297.1,59,58,4.6,AT,1693929051
159,selfoss,63.9331,-20.9971,285.95,78,89,5.19,IS,1693929051
160,nelson bay,-32.7167,152.15,288.15,60,1,1.79,AU,1693929052
161,temirlanovka,42.5994,69.2633,293.92,29,4,6.58,KZ,1693929052
162,forster,-32.1667,152.5167,284.86,46,0,2.78,AU,1693929052
163,igarka,67.4667,86.5833,278.41,74,0,2.98,RU,1693929052
164,chui,-33.6971,-53.4616,285.13,54,74,4.67,UY,1693929052
165,qaqortoq,60.7167,-46.0333,281.29,93,99,3.71,GL,1693929052
166,puerto natales,-51.7236,-72.4875,276.67,53,55,0.9,CL,1693929052
167,wailua homesteads,22.0669,-159.378,295.23,88,0,2.57,US,1693929052
168,port elizabeth,-33.918,25.5701,288.31,47,20,11.32,ZA,1693929053
169,geraldton,-28.7667,114.6,286.38,94,40,2.06,AU,1693929053
170,nemuro,43.3236,145.575,289.89,99,98,4.17,JP,1693929053
171,kapuskasing,49.4169,-82.4331,301.15,57,0,5.66,CA,1693928942
172,klyuchi,52.2667,79.1667,285.57,58,92,2.82,RU,1693929053
173,bubaque,11.2833,-15.8333,299.06,81,100,5.9,GW,1693929053
174,yeppoon,-23.1333,150.7333,289.03,87,0,2.93,AU,1693929053
175,turabah,21.2141,41.6331,306.65,5,8,4.59,SA,1693929053
176,floro,61.5996,5.0328,287.19,62,20,6.17,NO,1693929054
177,jaguaruna,-28.615,-49.0256,289.35,77,100,6.47,BR,1693929054
178,bartin,41.5833,32.5,292.04,85,100,2.07,TR,1693929054
179,elista,46.3078,44.2558,300.44,26,98,10.0,RU,1693929054
180,viqueque,-8.8673,126.3658,295.0,82,66,0.64,TL,1693929054
181,ust-nera,64.5667,143.2,275.88,81,41,0.91,RU,1693929054
182,udachny,66.4167,112.4,272.29,92,77,3.17,RU,1693929054
183,tralee,52.2704,-9.7026,297.29,64,0,7.2,IE,1693929055
184,fort bragg,35.139,-79.006,305.88,58,0,0.89,US,1693928853
185,sorong,-0.8833,131.25,298.62,86,95,3.61,ID,1693929055
186,codrington,-38.2667,141.9667,277.59,89,10,4.83,AU,1693929055
187,yinchuan,38.4681,106.2731,297.83,41,34,7.2,CN,1693929055
188,al jawf,29.5,38.75,310.8,10,4,2.95,SA,1693929055
189,kita,13.0349,-9.4895,302.53,66,100,2.41,ML,1693929055
190,weno,7.4515,151.8468,300.12,89,75,0.0,FM,1693929056
191,nadym,65.5333,72.5167,282.44,59,8,3.07,RU,1693929056
192,pacific grove,36.6177,-121.9166,287.96,93,100,4.02,US,1693928950
193,ulanhot,46.0833,122.0833,290.88,82,3,4.65,CN,1693929056
194,deir ez-zor,35.3359,40.1408,311.39,13,5,3.74,SY,1693929056
195,bijar,35.8668,47.6051,298.98,12,0,0.52,IR,1693929056
196,kranuan,16.7067,103.0788,300.46,91,100,2.98,TH,1693929056
197,coquimbo,-29.9533,-71.3436,290.0,67,0,6.69,CL,1693928799
198,hobyo,5.3505,48.5268,299.44,79,81,12.44,SO,1693929057
199,freetown,8.484,-13.2299,298.99,83,75,6.69,SL,1693929057
200,kaifeng,34.7911,114.3483,296.22,83,27,1.85,CN,1693929057
201,altamira,-3.2033,-52.2064,308.2,89,75,3.6,BR,1693928831
202,mount gambier,-37.8333,140.7667,280.06,77,83,3.99,AU,1693929057
203,mount isa,-20.7333,139.5,295.02,30,58,2.06,AU,1693929057
204,san antonio de pale,-1.4014,5.6325,296.8,86,46,4.68,GQ,1693929057
205,san pascual,13.7975,121.0342,300.16,86,100,1.67,PH,1693929058
206,lokhvytsya,50.3678,33.2602,295.84,41,71,3.97,UA,1693929058
207,ojinaga,29.5667,-104.4167,309.02,25,0,0.0,MX,1693929058
208,katsuura,35.1333,140.3,300.19,87,50,8.23,JP,1693929058
209,spring creek,40.7266,-115.5859,286.65,46,0,0.69,US,1693929058
210,ghat,24.9647,10.1728,313.38,8,7,8.36,LY,1693929058
211,villa yapacani,-17.4,-63.8333,303.44,38,99,2.29,BO,1693929058
212,qalat,32.1058,66.9083,298.57,9,0,3.38,AF,1693929058
213,bikenibeu village,1.3673,173.1241,301.13,83,20,3.09,KI,1693929058
214,guymon,36.6828,-101.4816,297.15,38,0,7.2,US,1693929059
215,thinadhoo,0.5333,72.9333,301.51,73,88,4.6,MV,1693929059
216,kailua-kona,19.6406,-155.9956,297.37,78,0,3.13,US,1693929059
217,happy valley-goose bay,53.3168,-60.3315,295.32,46,75,4.63,CA,1693929059
218,rabo de peixe,37.8,-25.5833,295.88,68,20,9.77,PT,1693929059
219,laranjeiras do sul,-25.4078,-52.4161,293.68,59,100,1.52,BR,1693929015
220,ribadeo,43.5325,-7.0991,296.19,62,99,1.15,ES,1693929059
221,valparaiso,-33.0393,-71.6273,290.28,76,0,1.54,CL,1693928773
222,mahina,-17.5065,-149.489,296.02,94,75,1.54,PF,1693929059
223,maumere,-8.6199,122.2111,296.94,77,85,1.57,ID,1693929060
224,nova prata,-28.7839,-51.61,284.85,89,100,1.44,BR,1693929060
225,treasure island,27.7692,-82.769,306.15,59,0,4.63,US,1693929060
226,lompoc,34.6391,-120.4579,292.47,100,100,2.06,US,1693929060
227,ntoum,0.3833,9.7833,301.02,64,96,3.64,GA,1693929060
228,luderitz,-26.6481,15.1594,289.95,45,86,13.45,NA,1693929060
229,sinop,41.7711,34.8709,294.39,95,77,2.36,TR,1693929060
230,walvis bay,-22.9575,14.5053,288.74,61,80,12.04,NA,1693929060
231,markovo,57.3206,107.0881,285.85,70,100,1.19,RU,1693929061
232,barah,13.7,30.3667,302.0,57,93,6.42,SD,1693929061
233,bamboo flat,11.7,92.7167,301.2,83,100,4.12,IN,1693929061
234,macenta,8.5435,-9.471,297.61,93,100,1.58,GN,1693929061
235,le vauclin,14.5452,-60.8388,305.18,66,40,6.69,MQ,1693929062
236,khlevnoye,52.1951,39.0932,291.16,63,36,1.11,RU,1693929062
237,sungurlu,40.1675,34.3739,300.06,36,2,3.32,TR,1693929062
238,carnarvon,-24.8667,113.6333,291.41,68,16,8.41,AU,1693929062
239,al-hamdaniya,36.2715,43.3737,312.13,11,0,2.83,IQ,1693929063
240,kota belud,6.351,116.4305,298.96,87,100,1.63,MY,1693929063
241,st. john's,47.5649,-52.7093,292.68,96,100,6.17,CA,1693928826
242,lagos,6.5833,3.75,301.33,78,96,3.61,NG,1693928963
243,remire-montjoly,4.9167,-52.2667,305.17,58,40,5.14,GF,1693929063
244,acarau,-2.8856,-40.12,305.32,50,0,9.54,BR,1693929063
245,badger,64.8,-147.5333,280.29,95,75,2.06,US,1693929063
246,san cipirello,37.9622,13.1761,297.61,54,1,7.1,IT,1693929064
247,sullivan,36.5168,-82.5332,302.39,73,40,1.34,US,1693929064
248,tabou,4.423,-7.3528,300.38,70,100,4.33,CI,1693929064
249,mineiros,-17.5694,-52.5511,307.26,28,78,2.01,BR,1693929064
250,el granada,37.5027,-122.4694,292.6,87,100,2.57,US,1693929064
251,sampit,-2.5333,112.95,297.8,85,79,1.9,ID,1693929064
252,isoka,-10.1606,32.6335,298.36,29,8,2.35,ZM,1693929064
253,montagu,-40.7667,144.9667,284.21,76,100,6.49,AU,1693929065
254,san luis de la loma,17.2706,-100.8939,302.68,67,100,3.79,MX,1693929065
255,zaozersk,69.4005,32.4476,284.43,64,34,5.34,RU,1693929065
256,portland,45.5234,-122.6762,289.46,84,20,0.89,US,1693928922
257,tarime,-1.35,34.3667,294.08,66,60,2.65,TZ,1693929065
258,sinabang,2.4803,96.3801,297.17,95,100,2.34,ID,1693929065
259,eureka,40.8021,-124.1637,286.62,94,0,0.89,US,1693928768
260,lerwick,60.1545,-1.1494,288.15,68,0,1.68,GB,1693929066
261,vila velha,-20.3297,-40.2925,302.12,67,40,7.2,BR,1693929066
262,cidreira,-30.1811,-50.2056,287.88,70,98,4.65,BR,1693929066
263,zhaqsy,51.9083,67.3133,283.11,56,94,3.71,KZ,1693929066
264,puerto lempira,15.2667,-83.7667,302.23,70,75,0.0,HN,1693929066
265,elko,41.0002,-115.5012,286.84,71,0,1.79,US,1693929066
266,invercargill,-46.4,168.35,280.94,98,81,0.45,NZ,1693928857
267,chegdomyn,51.1167,133.0167,277.96,94,9,0.8,RU,1693929066
268,kalabo,-14.97,22.6814,303.85,12,0,1.44,ZM,1693929066
269,hantsavichy,52.758,26.43,293.38,53,20,2.11,BY,1693929067
270,dunedin,-45.8742,170.5036,284.71,71,75,1.34,NZ,1693929067
271,berber,18.0216,33.983,312.56,14,88,5.05,SD,1693929067
272,oban,56.4127,-5.4706,299.47,49,0,2.06,GB,1693929067
273,fort st. john,56.2499,-120.8529,280.09,81,100,2.57,CA,1693929067
274,slyudyanka,51.6594,103.7061,288.06,89,100,0.84,RU,1693929067
275,banyo,6.75,11.8167,293.8,92,90,0.73,CM,1693929067
276,touros,-5.1989,-35.4608,302.32,59,17,8.98,BR,1693929068
277,taft,31.7471,54.2088,307.12,11,20,2.06,IR,1693929068
278,keelung,25.1283,121.7419,301.53,90,93,2.95,TW,1693929068
279,tocopilla,-22.092,-70.1979,294.16,64,13,1.97,CL,1693928774
280,pandan,14.0453,124.1694,300.43,84,79,2.04,PH,1693929068
281,daru,-9.0763,143.2092,297.37,87,78,6.23,PG,1693929068
282,'ain el turk,35.7438,-0.7693,303.65,54,0,6.69,DZ,1693929068
283,mahibadhoo,3.7833,72.9667,300.73,78,93,4.9,MV,1693929068
284,quellon,-43.1167,-73.6167,282.29,76,75,5.66,CL,1693928781
285,gannan,47.9147,123.5031,288.0,97,12,0.81,CN,1693929069
286,crane,31.3974,-102.3501,305.33,39,5,5.43,US,1693928851
287,enewetak,11.3474,162.3373,301.9,78,99,3.48,MH,1693929069
288,caconda,-13.7333,15.0667,302.64,12,0,2.63,AO,1693929069
289,port saint john's,-31.6229,29.5448,290.35,74,96,11.46,ZA,1693929069
290,shimoda,34.6667,138.95,298.76,84,93,5.95,JP,1693929069
291,grand-bassam,5.2118,-3.7388,300.13,74,66,4.38,CI,1693929069
292,ad dabbah,18.05,30.95,313.25,11,76,2.58,SD,1693929069
293,nueva gerona,21.8833,-82.8,304.66,61,13,4.15,CU,1693929070
294,nagqu,31.5,92.0,276.16,80,49,1.69,CN,1693929070
295,cold lake,54.4502,-110.2017,278.12,100,40,0.0,CA,1693929070
296,trujillo,-8.116,-79.03,294.13,78,100,3.6,PE,1693929070
297,polyarnyy,69.1989,33.4478,284.62,67,48,4.26,RU,1693929070
298,puerto baquerizo moreno,-0.9,-89.6,297.7,83,75,5.66,EC,1693928922
299,kyabe,9.4515,18.9449,296.37,89,100,0.7,TD,1693929071
300,bumba,2.1833,22.4667,297.57,83,86,0.39,CD,1693929071
301,tadine,-21.55,167.8833,294.39,86,100,5.06,NC,1693929071
302,dakhla,23.6848,-15.958,298.16,65,0,10.29,EH,1693929071
303,paravur tekkumbhagam,8.7833,76.7,301.16,89,99,1.75,IN,1693929071
304,fale old settlement,-9.3852,-171.2468,301.09,78,14,7.37,TK,1693929071
305,turmalina,-17.2856,-42.73,304.76,35,5,2.23,BR,1693929071
306,peniche,39.3558,-9.3811,299.31,82,73,7.67,PT,1693929071
307,kegen,43.0197,79.2203,280.79,65,35,0.64,KZ,1693929072
308,quepos,9.4236,-84.1652,302.45,69,71,1.88,CR,1693929072
309,aoulef,26.9667,1.0833,317.28,10,77,5.87,DZ,1693929072
310,coyhaique,-45.5752,-72.0662,275.12,64,0,3.6,CL,1693929072
311,hithadhoo,-0.6,73.0833,301.35,75,98,5.45,MV,1693929072
312,itoman,26.1247,127.6694,301.58,86,20,3.09,JP,1693929072
313,whitehorse,60.7161,-135.0538,281.58,84,100,1.03,CA,1693928908
314,ati,13.2154,18.3353,301.73,59,100,7.01,TD,1693929072
315,badvel,14.75,79.05,297.86,85,100,4.22,IN,1693929072
316,olyokminsk,60.3736,120.4264,283.49,59,100,1.88,RU,1693929073
317,olinda,-8.0089,-34.8553,301.0,69,20,4.63,BR,1693929073
318,amaigbo,5.7892,7.8383,300.0,85,52,2.68,NG,1693929073
319,santana,-0.0583,-51.1817,306.25,55,20,4.12,BR,1693929073
320,itamaraca,-7.7478,-34.8256,301.18,67,7,6.7,BR,1693929015
321,mossel bay,-34.1831,22.146,288.11,67,13,9.24,ZA,1693929073
322,crescent city,41.756,-124.2018,287.57,94,75,0.0,US,1693929036
323,cabo san lucas,22.8909,-109.9124,305.16,68,7,4.92,MX,1693929028
324,nova sintra,14.8667,-24.7167,297.42,75,100,6.75,CV,1693929073
325,polazna,58.2946,56.4055,286.81,67,100,1.24,RU,1693929074
326,turgen,43.4006,77.5933,287.22,52,7,2.83,KZ,1693929074
327,letlhakeng,-24.0944,25.0298,300.38,14,99,2.34,BW,1693929074
328,axim,4.8699,-2.2405,299.65,75,73,4.22,GH,1693929074
329,la passe,45.5549,-0.8967,307.28,43,3,4.7,FR,1693929074
330,bardai,11.65,7.2333,302.26,52,87,2.04,NG,1693929074
331,jamestown,42.097,-79.2353,301.74,73,0,2.06,US,1693928792
332,new norfolk,-42.7826,147.0587,281.42,87,61,2.03,AU,1693929075
333,mangalia,43.8,28.5833,297.03,65,100,7.01,RO,1693929075
334,minas de marcona,-15.2119,-75.1103,289.41,71,100,6.82,PE,1693929075
335,okhotsk,59.3833,143.3,282.67,84,100,3.37,RU,1693929075
336,suva,-18.1416,178.4415,295.86,78,75,1.54,FJ,1693929075
337,atar,20.5169,-13.0499,312.18,37,40,4.12,MR,1693929075
338,midland,31.9974,-102.0779,305.96,51,0,6.17,US,1693928835
339,sungai penuh,-2.0833,101.3833,292.2,89,100,1.13,ID,1693929076
340,pont rouge,48.8833,-72.0825,295.31,53,0,1.89,CA,1693929076
341,moussoro,13.6408,16.4901,305.25,44,97,7.52,TD,1693929076
342,mossendjo,-2.9506,12.7261,301.44,51,67,2.56,CG,1693929076
343,dashiqiao,40.6373,122.5025,291.56,81,0,2.59,CN,1693929076
344,san kamphaeng,18.7449,99.1195,299.45,96,75,2.57,TH,1693929076
345,iskateley,67.6803,53.1512,287.23,84,96,3.7,RU,1693929076
346,point pedro,9.8167,80.2333,300.79,81,100,10.13,LK,1693929076
347,popondetta,-8.7537,148.2534,295.88,98,49,1.02,PG,1693929077
348,kutum,14.2,24.6667,304.79,24,100,2.64,SD,1693929077
349,auki,-8.7676,160.7034,298.57,89,43,1.67,SB,1693929077
350,campo gallo,-26.5833,-62.85,291.98,55,98,2.82,AR,1693929077
351,yarim,14.298,44.3779,293.58,39,96,2.7,YE,1693929077
352,loango,-4.6719,11.8312,297.96,83,75,3.09,CG,1693929077
353,northam,51.0333,-4.2167,299.07,65,0,4.22,GB,1693929077
354,salalah,17.0151,54.0924,301.2,78,0,2.06,OM,1693929078
355,bucerias,20.75,-105.3333,304.25,89,75,0.68,MX,1693928844
